Compuesto,Desdoblamiento_Cuadrupolar,Densidad_Electronica
Fe(ll)Cl4,-3.588,11815.17021058
Fe(ll)(CN)6,0.003,11817.633383929
Fe(ll)F6,3.898,11814.337903315
Fe(lll)Az,-1.966,11816.944255908
Fe(lll)Cl4,-0.011,11816.805843272
Fe(lll)Cl6,-0.0,11816.247224464
Fe(lll)(CN)6,2.212,11817.880207599
Fe(lll)F6,-0.0,11816.331598801
Fe(lll)(H2O)6,0.076,11816.30306087
Fe(Vl)O4,-0.031,11820.061883301
Fe(CO)5,2.537,11818.089322213
(Fe-NO)6,-2.056,11817.513441492
(Fe-NO)7,0.629,11816.85215258
Fe(PH)3,0.764,11816.498723837
Fe(SME),-0.644,11816.360487498
